tipo,identificador_o_persona,archivo_local,url_oficial,estado
dataset_pnt,TEPJF declaraciones patrimoniales 2025,research/relaciones_servidores_publicos/fuentes/pnt/PNT_TEPJF_declaraciones_2025.csv,https://consultapublicamx.plataformadetransparencia.org.mx/,descargado_2822_registros_y_verificado
resolucion_pnt,DIT 0581/2023,research/relaciones_servidores_publicos/fuentes/pnt/DIT-0581-2023_TEPJF_SIPOT.pdf,https://www.te.gob.mx/transparencia/media/pdf/21bce7756e89007.pdf,descargado_y_verificado
resolucion_ine,INE-CT-R-0033-2024,research/relaciones_servidores_publicos/fuentes/pnt/INE-CT-R-0033-2024.pdf,https://repositoriodocumental.ine.mx/xmlui/bitstream/handle/123456789/164221/ine-ct-r-0033-2024.pdf,descargado_y_verificado
declaracion,Janine Madeline Otalora Malassis,research/relaciones_servidores_publicos/fuentes/declaraciones/Janine_Madeline_Otalora_Malassis_modificacion_2025.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/JANINE_MADELINE_OTALORA_MALASSIS_MI.pdf,descargado_desde_hipervinculo_pnt_y_verificado
declaracion,Felipe de la Mata Pizaña,research/relaciones_servidores_publicos/fuentes/declaraciones/Felipe_De_La_Mata_Pizana_modificacion_2025.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/FELIPE_DE_LA_MATA_PIZANA_MI.pdf,descargado_desde_hipervinculo_pnt_y_verificado
declaracion,Felipe Alfredo Fuentes Barrera,research/relaciones_servidores_publicos/fuentes/declaraciones/Felipe_Alfredo_Fuentes_Barrera_modificacion_2025.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/FELIPE_ALFREDO_FUENTES_BARRERA_MI.pdf,descargado_desde_hipervinculo_pnt_y_verificado
declaracion,Monica Arali Soto Fregoso,research/relaciones_servidores_publicos/fuentes/declaraciones/Monica_Arali_Soto_Fregoso_modificacion_2025.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/MONICA_ARALI_SOTO_FREGOSO_MI.pdf,descargado_desde_hipervinculo_pnt_y_verificado
declaracion,Reyes Rodriguez Mondragon,research/relaciones_servidores_publicos/fuentes/declaraciones/Reyes_Rodriguez_Mondragon_modificacion_2025.pdf,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/REYES_RODRIGUEZ_MONDRAGON_MI.pdf,descargado_desde_hipervinculo_pnt_y_verificado
