persona,periodo_pnt,modalidad,cargo,area_adscripcion_pnt,url_declaracion,observacion_calidad
Janine Madeline Otalora Malassis,2025-04-01 a 2025-06-30,Modificación,Magistrado (a) de Sala Superior,Ponencia Magistrada Otálora Malassis Janine Madeline,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/JANINE_MADELINE_OTALORA_MALASSIS_MI.pdf,Sin inconsistencia identificada
Janine Madeline Otalora Malassis,2025-10-01 a 2025-12-31,Conclusión,Magistrado (a) De Sala Superior,Ponencia Magistrada Janine Madeline Otalora Malassis,https://www.te.gob.mx/Repositorio/A70F12/CI/4to_trimestre_2025/JANINE_MADELINE_OTALORA_MALASSIS_CI.pdf,Sin inconsistencia identificada
Felipe de la Mata Pizaña,2025-04-01 a 2025-06-30,Modificación,Magistrado (a) de Sala Superior,Ponencia Magistrado De La Mata Pizaña Felipe,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/FELIPE_DE_LA_MATA_PIZANA_MI.pdf,Sin inconsistencia identificada
Felipe Alfredo Fuentes Barrera,2025-04-01 a 2025-06-30,Modificación,Magistrado (a) de Sala Superior,Ponencia Magistrado De La Mata Pizaña Felipe,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/FELIPE_ALFREDO_FUENTES_BARRERA_MI.pdf,El área PNT parece copiada de Felipe de la Mata; el PDF declara Sala Superior
Monica Arali Soto Fregoso,2025-04-01 a 2025-06-30,Modificación,Magistrado (a) de Sala Superior,Ponencia Magistrada Soto Fregoso Mónica Aralí,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/MONICA_ARALI_SOTO_FREGOSO_MI.pdf,Sin inconsistencia identificada
Reyes Rodriguez Mondragon,2025-04-01 a 2025-06-30,Modificación,Magistrado (a) de Sala Superior,Ponencia Magistrado Rodríguez Mondragón Reyes,https://www.te.gob.mx/Repositorio/A70F12/CI/2do_trimestre_2025/REYES_RODRIGUEZ_MONDRAGON_MI.pdf,Sin inconsistencia identificada

